split_id,repeat_id,fold_id,dataset,null_task,feature_set,K,model,balanced_accuracy,auc,f1,sensitivity,specificity,kernel_alignment,separability_index,K_RR,K_NN,K_RN
fold01,1,1,demo_primary,time_shift,raw_topk,4,linear_svm,0.41666666666666663,0.2222222222222222,0.2222222222222222,,,,,,,
fold02,1,2,demo_primary,time_shift,raw_topk,4,linear_svm,0.5833333333333334,0.6944444444444444,0.2857142857142857,,,,,,,
fold01,1,1,demo_primary,time_shift,raw_topk,4,poly_svm,0.3333333333333333,0.3055555555555556,0.2,,,,,,,
fold02,1,2,demo_primary,time_shift,raw_topk,4,poly_svm,0.5833333333333334,0.6111111111111112,0.2857142857142857,,,,,,,
fold01,1,1,demo_primary,time_shift,raw_topk,4,rbf_svm,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,
fold02,1,2,demo_primary,time_shift,raw_topk,4,rbf_svm,0.5833333333333334,0.38888888888888884,0.4444444444444444,,,,,,,
